OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_CIV,POVScore,PHYSRatioScore,Shape__Area,Shape__Length
458,26,037,Los Angeles,78.2iiii,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,9186.27440891,1.00751715,75797,1,5,48,2371.875,2,3,0.00309165548492274,0.390196908599847
459,26,037,Los Angeles,78.2j,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,6895.60995799,0.51756879,110614,0,2,85,1481.64705882,1,1,0.00466006902570371,0.603944127397418
460,33,037,Los Angeles,78.2jj,Sherman Oaks/Studio City/Valley Village,Urban,6779.90907404,0.36953663,111819,0,2,98,1360.60204082,1,1,0.00477979742777279,0.44602757047185
461,25,037,Los Angeles,78.2jjj,Long Beach West Central,Urban,21917.88441924,0.25059677,46944,1,8,48.5,2316.43298969,5,3,0.00130079685391138,0.231745247244133
462,21,037,Los Angeles,78.2jjjj,Norwalk/Studebaker,Urban,10872.59913346,0.53105961,31855,1,5,47,2253.21276596,2,3,0.00246865475946834,0.279456927138984
463,19,037,Los Angeles,78.2k,South Central Northwest,Urban,12299.1050707,0.17286542,47221,1,9,9,8515.33333333,4,5,0.00160875806591321,0.267995223477886
464,27,037,Los Angeles,78.2kk,North Hills/Northridge North,Urban,8614.31277944,0.1917458,54620,0,4,84,1341.04761905,3,1,0.00334095811535917,0.329239782440149
465,33,037,Los Angeles,78.2kkk,Belmont Shore/Long Beach East/Long Beach Shoreline/Los Altos/Naples,Urban,6932.0888223,0.55849889,100010,0,2,240,534.05416667,2,0,0.00475532555742575,0.563902000635133
466,20,037,Los Angeles,78.2kkkk,Santa Monica Central/Sawtelle/West Los Angeles,Urban,13324.37112405,0.10982509,70833,0,2,339,255.98820059,2,0,0.00161716394654832,0.22679473749742
467,22,037,Los Angeles,78.2l,Exposition Park/Leimert Park,Urban,16732.99512463,0.24276602,35227,1,8,45,2019.48888889,5,3,0.0014377462991888,0.232065538889433
468,31,037,Los Angeles,78.2ll,Arleta/Pacoima West/Panorama City/San Fernando West,Urban,13680.83979607,0.04716217,18866,1,7,62,2024.72580645,4,3,0.00231032122087527,0.378238489644366
